,Job_Title,Company,Location,Salary,Job_Description
0,Board Certified Behavior Analyst (BCBA),Aspire Learning Center,"100 Cummings Center, Beverly, MA 01915",$40 - $70 an hour,"ASPIRE LEARNING CENTER, LLC
Job Title: Board Certified Behavior Analyst (Part-Time)
Who Are We?
Aspire Learning Center is an integrated ABA program that provides a unique opportunity for neurodivergent and neurotypical children to learn and grow alongside each other. During our Early Childhood Program we provide academic and ABA services to children from 18 months – 7 years old. During our Afternoon or “after school” program, we provide services to children up to 15 years of age.
In addition to in-center services, Aspire Learning Center offers its families home-based and community services. Behavior Technicians who wish to participate in this aspect of our model are trained to work with clients and families in a compassionate and supportive manner across various settings.
Please note we do NOT provide services on weekends or late evenings.
What Will I Do as a BCBA at Aspire Learning Center?
You will lead assessment and program development for children and adolescents on a predetermined case-load. Responsibilities will include design and implementation of educational and behavioral programming, developing data collection systems, and providing training and consultation to Behavior Technicians, ancillary service providers, and caregivers specific to the needs of the clients on your caseload. Your responsibilities will be carried out predominately in-center. Responsibilities will also be carried out in the home setting on a case-by-case basis as deemed clinically necessary and appropriate.
You will have access to a Lead Behavior Technician as well as Mentees who are working toward becoming BCBAs to assist you with indirect planning and caseload prep.
Other responsibilities include:
Designs and implements conceptually sound individualized Positive Behavior Support Plans and Instructional Lesson Plans
Regularly conducts skills assessments and behavioral assessments to inform client programming
Designs, collects, graphs and analyzes data to make empirically validated decisions on programming
Provides training and supervision to behavior technicians specific to their client’s programming
Provides consultation and training to caregivers
Stays current with the most recent research and practice in applied behavior analysis
Promotes active engagement of assigned consumer(s) across all sessions
Participates in weekly clinical mentor meetings with supervisors
Participates in weekly team meetings with clinical team
Is there Growth Opportunity?
Yes! We have many growth opportunities for individuals who are interested in specializing in certain skill areas. We want you to have a stake in the direction of our organization and how you want to positively impact the lives of children we serve. A few current roles include overseeing our Afternoon Program, Social Skills Programs, leading the Learning & Development Department, overseeing Lead Behavior Technicians, etc.!
What Does Onboarding and Training Look Like?
The first two weeks of your time at Aspire Learning Center will be spent in Onboarding and Training to help you feel equipped to confidently be a BCBA at Aspire Learning Center. Training will occur across various modes such as lecture, 1:1 meetings with your supervisors, and on-the-floor.
Am I Qualified?
A Master’s degree is required
Certification by the Board Analyst Certification Board, Inc. (BCBA certification)
Licensed by the State of Massachusetts as an Applied Behavior Analyst (LABA) or eligibility to apply
Skill(s): Excellent interpersonal and communication skills, strong organizational and time management skills, proficiency with Microsoft Office and Excel
BENEFITS
Paid sick time
Paid holidays
401k with employer matched contribution
Annual paid professional development days
Annual professional development stipend
Aspire Learning Center is an ACE Provider and providers regular free CEU opportunities
Participation in research alongside well-known figures in the field
Job Type: Full-time
Pay: $40.00 - $70.00 per hour
Benefits:
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Medical specialties:
Pediatrics
Education:
Master's (Required)
License/Certification:
BCBA (Required)
Work Location: In person

Health insurance"
1,"Business Analyst II, Research",KeyLogic Systems,"Morgantown, WV",N,"KeyLogic Systems has an immediate need for a Business Analyst II. The Analyst will join our growing Research Planning and Delivery Team supporting the Department of Energy (DOE) National Energy Technology Laboratory (NETL). The Business Analyst II will support the Federal Project Managers, Technology Portfolio Leads, and Researchers. This position requires an ability to take initiative and a willingness to work in a flexible and fast-paced environment directly with the Federal client and other members of our KeyLogic team.
Position Requirements:
Bachelor's Degree (Master's Degree is preferred)
Proficient in Microsoft Office
Previous customer service experience
Experience with document editing
Ability to work closely with clients to develop briefings and reports
Experience researching, writing, and editing technical reports and documents
Experience completing day-to-day project administration
Basic professional research skills are required with significant expertise within the researching and/or library services field is preferred
Experience in performing data analysis and analytics is preferred
PMP certification is preferred
Position Responsibilities:
Occasional travel to other KeyLogic or client offices may be required
Interface with clients (Engineers, Project Managers, etc.)
Manage and track cost schedules, milestones, and project deliverables
Maintain, amend, and update records
Review data and develop regular and ad hoc reports and presentations
At KeyLogic we recognize that our employees are our most valuable resources. We hire talented, qualified professionals and provide each of our employees with every resource and opportunity to excel in their day-to-day activities as well as advance their career.
KeyLogic is a highly successful provider of professional and engineering services. We specialize in solutions that enable our customers to make better decisions for their organization. KeyLogic’s performance has earned the company a solid reputation for high standards, proactive solutions, and an outstanding commitment to the customer, best exemplified by the fact we have never had a one-time federal customer — all of our customers have provided repeat business. This has led us to achieve significant growth every year since our founding in 1999.
At KeyLogic, we're known for our extraordinary commitment to the success of the organizations we serve. Our client list includes the Department of Defense (DoD), Environmental Protection Agency (EPA), Energy (DOE), Transportation (DOT) and Treasury (including the Internal Revenue Service (IRS)), General Services Administration (GSA), and the National Aeronautics and Space Administration (NASA).
All qualified applicants will receive consideration for employment at KeyLogic without regard to race; creed; color; religion; national origin; sex; age; disability; sexual orientation; gender identity or expression; genetic predisposition or carrier status; veteran, marital; or any other status protected by law. KeyLogic is proud to be an affirmative action and equal opportunity employer.
NOTE: KeyLogic is an Equal Employment/Affirmative Action employer. We do not discriminate in hiring on the basis of sex, gender identity, sexual orientation, race, color, religious creed, national origin, physical or mental disability, protected Veteran status, or any other characteristic protected by federal, state, or local law.
If you need a reasonable accommodation for any part of the employment process, please contact us by email at Recruiting@KeyLogic.com and let us know the nature of your request and your contact information. Request for accommodation will be considered on a case-by-case basis.
Job Code:
1612"
2,"Business Analyst (New Holland, PA or Napoleon, OH)",Goodville Mutual Casualty Company,"625 W Main St, New Holland, PA 17557",N,"Nature of Job
Serve as subject matter expert (SME) for all-things accounting and billing. Collaborate with relevant stakeholders to understand and document current needs, practices, challenges, and processes. Create user stories and detailed requirements with an overall goal of creating an outstanding user experience. Maintain a detailed user story backlog and actively support the delivery process in all phases as needed; from creation of initial requirements, daily collaboration with delivery teams, assisting with the QA testing effort, to post-release verification. Serve as the primary resource for core systems project replacements and future upgrades; serve as a resource for others in the organization.
Duties and Responsibilities
Ensure maximum business value is consistently reflected in a well-maintained product backlog.
Responsible for understanding the technical and business side of the product release.
Provide the development team with consistent product vision and actionable sprint goals.
Collaborate with stakeholders to understand business vision; ensure that the delivery team understands the vision for the product and is focused on the right things.
Lead information-gathering sessions and focus groups with departments, stakeholders and end users and work to ensure that all stakeholders are aligned at each stage of the development lifecycle.
Build and maintain effective working relationships with stakeholders.
Assist in product research and business analysis as needed.
Develop and present concise user stories to the development team.
Work with the Scrum Master and development team to manage pace of delivery.
Organize and participate in Agile planning and release meetings.
Perform other duties as assigned by the manager.

Bachelor's degree in accounting, finance or related discipline preferred.
One to three years' experience in business and/or project delivery preferred – or relevant work experience using agile project delivery methodologies.
Experience in or ability to learn Property and Casualty insurance principles – specifically accounting and billing practices, procedures, and requirements.
Working knowledge of accounting & billing-specific technologies and technical concepts.
Experience with Agile frameworks and project tracking software such as JIRA.
Ability to effectively manage a range of tasks and initiatives in an environment with shifting priorities.
Ability to build and maintain collaborative relationships - interact professionally with individuals at all levels internally and externally.
Ability to understand, explain and translate both business and IT terminology, perspectives, and goals.
Excellent written and verbal communication skills.
Commitment to company values of customer service.
Ability to perform the essential functions of the job with or without reasonable accommodation.

PI208837678"
3,Data Analyst I,Salus Group,"Sterling Heights, MI 48310•Hybrid remote","$60,829 - $67,720 a year","Salus Group has been around conducting business since 2005. We are committed to our employees and providing them with an exceptional work life balance. As a family-owned business we want to insure our employees can enjoy their Time and Holidays with their loved ones by providing that work life balance.
Benefits are key to our company’s success. Some of the benefits that we offer to our employees are a Hybrid Work Schedule, 12 weeks to work fully remote (outside of 4th quarter with Manager Approval), Paid Holidays (12 days with no waiting period), Health, Dental, Vision, A profit Sharing Program, 401K (with a generous employer match), Tuition Reimbursement, Gym Membership Reimbursement, Healthy Snacks in office daily and a monthly Wellness Program. Our employees’ Health & Wellness, Work Life Balance and Benefits are important to us as their employer. If these are some of the benefits that you are looking for with your future employer, then please apply today to join our Team/Work Family.
The Data Analyst creates value by providing a high level of technical support in the form of data reporting and analyses for the Salus Group Consulting Department and External Clients. The individual in this position must be able to produce and use complex data to create usable trend reports, charts, graphs, etc. Ad hoc reporting, and special projects for other departments may be required at the request of clients and supervisor(s).
ESSENTIAL FUNCTIONS:
1. Perform high-level reviews and summaries of large raw data.
2. Receive, save, and analyze monthly reports provided by medical insurance carriers.
3. Utilize Excel and other reporting tools to produce account specific custom reports in advance of meetings to allow for review and revisions, as necessary. Will also utilize and analyze monthly reports provided by carriers.
4. With guidance, present completed work and related implications to team members and clients.
5. Maintain logs of issues and problem resolution to ensure proper follow-up and outcome.
6. Maintain knowledge of client information; modify and update as necessary.
7. Proactively perform related duties and/or participate in other work to support the team. Perform additional duties/tasks as assigned.
PERFORMANCE EXPECTATIONS:
Demonstrate strong analytical skills and math aptitude to produce detailed reporting that is accurate, meaningful, and simplified for conveyance to clients.
Must ensure timely preparation and completion of materials within specified timeframes and deadlines.
Display poise, tact and diplomacy when working with teammates and clients.
Must be flexible, self-motivated, extraordinarily organized and detail oriented to handle multiple responsibilities in fast paced, client-focused, deadline-oriented environment.
Demonstrate a high level of interest in personal development, learning and continuous improvement.
Awareness of data security to safeguard Protected Health Information (PHI).
REQUIRED QUALIFICATIONS:
In-depth experience and high level of proficiency working with Microsoft Excel, Word, PowerPoint.
College degree, college classes towards degree, or equivalent years of relevant experience required.
Excellent analytical and organizational skills.
Excellent verbal and written communication skills.
Ability to work independently and part of a team interfacing with senior management.
Confident with excellent inter-personal and presentation skills.
PREFERRED QUALIFICATIONS:
Experience/understanding of the health care industry, knowledge of employee benefits.
Job Type: Full-time
Pay: $60,829.00 - $67,720.00 per year
Benefits:
401(k)
401(k) matching
AD&D insurance
Continuing education credits
Dental insurance
Disability insurance
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid holidays
Paid time off
Tuition reimbursement
Vision insurance
Compensation package:
Profit sharing
Yearly pay
Experience level:
1 year
2 years
No experience needed
Under 1 year
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Sterling Heights, MI 48310: Reliably commute or planning to relocate before starting work (Required)
Experience:
Data analytics: 1 year (Preferred)
Work Location: Hybrid remote in Sterling Heights, MI 48310

Health insurance"
4,Data Standard Analyst - Biostatistics Team,"Medpace, Inc.","Cincinnati, OH 45227•Hybrid remote",N,"Job Summary:
Our corporate activities are growing rapidly, and we are currently seeking a full-time, office-based Data Standard Analyst to join our Biostatistics team. This position will work on a team to accomplish tasks and projects that are instrumental to the company’s success. If you want an exciting career where you use your previous expertise and can develop and grow your career even further, then this is the opportunity for you.
Responsibilities :
Implement edit check specifications via SAS programming to assist with reconciliation of data discrepancies;
Create annotated CRFs and mapping specifications per CDISC SDTM standards;
Create SDTM data via SAS programming by implementing data standards for collected study level source data;
Perform validation of CDISC SDTM data in accordance with SOPs and guidance documents;
Ensure SDTM data conforms to the data standards expected by regulatory agencies;
Assist with creation of the define package for submission to regulatory agencies;
Qualifications :
Bachelor’s Degree in Math, Statistics, Life Sciences, or equivalent
SAS programming knowledge preferred
TRAVEL: None
Medpace Overview :
Medpace is a full-service clinical contract research organization (CRO). We provide Phase I-IV clinical development services to the biotechnology, pharmaceutical and medical device industries. Our mission is to accelerate the global development of safe and effective medical therapeutics through its scientific and disciplined approach. We leverage local regulatory and therapeutic expertise across all major areas including oncology, cardiology, metabolic disease, endocrinology, central nervous system, anti-viral and anti-infective. Headquartered in Cincinnati, Ohio, employing more than 5,000 people across 40+ countries.
Why Medpace?:
People. Purpose. Passion. Make a Difference Tomorrow. Join Today

The work we’ve done over the past 30 years has positively impacted the lives of countless patients and families who face hundreds of diseases across all key therapeutic areas. The work we do today will improve the lives of people living with illness and disease in the future.

Medpace Celebrates 30 Years
As we celebrate 3 decades of industry expertise and organic growth, we recognize the global team responsible for driving clinical development at Medpace. Click here to learn more about Medpace Celebrating 30 Years.
Cincinnati Perks
Cincinnati Campus Overview
Hybrid work-from-home options (dependent upon position and level)
Competitive PTO packages, starting at 20+ days
Flexible work hours
Discounted tuition for UC online programs
Company-sponsored employee appreciation events
Employee health and wellness initiatives
Community involvement with local nonprofit organizations
Competitive compensation and benefits package
Structured career paths with opportunities for professional growth
Partnership and discount with onsite childcare
Discounts on local sports games, local fitness gyms and attractions
Official Sponsor of FC Cincinnati
Modern, ecofriendly campus with an on-site fitness center, bar, and restaurants

Awards:
Recognized by Forbes as one of America's Best Mid-size Companies in 2021 and 2022
Continually recognized with CRO Leadership Awards from Life Science Leader magazine based on expertise, quality, capabilities, reliability, and compatibility

What to Expect Next:
A Medpace team member will review your qualifications and, if interested, you will be contacted with details for next steps.

EO/AA Employer M/F/Disability/Vets"
5,Technical Data Analyst,"Althea US, Inc.","Goodlettsville, TN 37072•Hybrid remote","$65,000 - $75,000 a year","As technical data analyst, you will be responsible for the Althea databases while creating business insights the lead to the growth of the organization. Additionally, you will support the organization’s ability to maintain certifications expected in the healthcare technology management industry.
Lead changes to Althea databases that allow for more efficient processing of work.
Standardize data within the databases to ensure reporting ease.
Create knowledge base of work instructions that allow easy step by step guides of the Althea software.
Training the team on how to use the implemented software.
Create reports and dashboards to support the operations, accounting, and sales teams.
Document processes and look for improvements.
· Work closely with other departments and support them with information needed to succeed.
Job Type: Full-time
Pay: $65,000.00 - $75,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Health savings account
Life insurance
Paid time off
Vision insurance
Experience level:
5 years
Schedule:
8 hour shift
Day shift
Monday to Friday
On call
Overtime
Ability to commute/relocate:
Goodlettsville, TN 37072: Reliably commute or planning to relocate before starting work (Required)
Experience:
Microsoft Excel: 5 years (Preferred)
Work Location: Hybrid remote in Goodlettsville, TN 37072

Health insurance"
6,Refugee Integration Data Analyst,VeloSource,Remote,N,"Verdin Point, LLC, is hiring fully remote Data Analysts to assist the U.S. Government in enhancing and evaluating programs for refugee resettlement. This position is part of a contract under U.S. Citizenship and Immigration Services, within the Department of Homeland Security. We are looking for candidates with experience dealing with complex information challenges, and particularly extensive experience using Excel and doing financial modeling work. At Verdin Point our purpose is to improve migrant and refugee care around the world and our mission is to provide humane services to migrants and refugees that are evidence-based, at-the-ready, and replicable. Verdin Point’s founders have worked to improve migration response at senior levels in government, non-profits, and academia, and are building a team of motivated doers to make real change.
SUMMARY
Using data analytical skills assist team members in creating and evaluating needs assessment and gap analysis to support of Operation Allies Welcome (OAW), to foster Afghan community integration, and solidify the resettlement framework for this population and other ongoing humanitarian efforts related to long-term immigrant integration.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Includes the following:
· Evaluates data and uses data analytics and data visualization to develop a variety of visually appealing and easy to interpret products to clearly communicate complex data sets to stakeholders.
· Develops informational products such as charts, diagrams, maps, and graphics for senior management and other staff.
· Analyzes data and uses data visualization techniques to showcase refugee resettlement needs and community service gaps. This includes monitoring data quality and removing inaccurate data.
· Works closely with Researchers and other data team members to further the mission and priorities of the Afghan and other refugee communities.
· The Data Analyst will also coordinate with other PE Research and Data team members to QA/QC reporting.
· When needed, the Data Analyst will communicate, and may give presentations, on data and information to ensure staff understand data content.
· Performs other job-related duties as assigned.
EDUCATION AND EXPERIENCE
Master’s Degree in computer science or in a related field like math, statistics, or computer engineering or Bachelor’s Degree and 3-4 years of data analyst or related experience. Work experience in vulnerable population service – refugee, migrants, or other vulnerable populations.
KNOWLEDGE, SKILLS, AND ABILITIES
Required
· Demonstrated experience in conducting gap analysis, evaluation and community assessments of migrant, refugee, or similar vulnerable populations to integrate into communities and access housing, education, health care, and legal assistance.
Other KSAs
· Ability to demonstrate capacity to work with large amounts of data, extract relevant information, and draw logical conclusions.
· Ability to translate complex data into non-technical, lay terms, especially for the general public.
· Demonstrated ability to pay attention to detail when working with data in order to highlight trends and patterns.
· Possesses subject matter expertise in knowledge of statistical methodologies and data analysis, and a comprehensive understanding of relevant databases, data sources, data organization.
· Skilled in Tableau, Share Point, and/or Microsoft Power BI. Expert in Microsoft Excel and Microsoft Office Suite.
· Previous experience or education in human rights or work with vulnerable populations preferred but not required
· Demonstrated ability to communicate complex issues in a timely and concise manner, both orally and in written form.
· Strong IT and mathematical skills preferred
WORK ENVIRONMENT
Work is performed primarily in a remote setting
Job Type: Full-time
Benefits:
Dental insurance
Flexible schedule
Health insurance
Paid time off
Vision insurance
Experience level:
3 years
Schedule:
8 hour shift
Monday to Friday
Experience:
SQL: 1 year (Preferred)
Work Location: Remote

Health insurance"
7,Data Analyst,"Atmosfy, Inc",Remote,"$60,000 - $90,000 a year","A BIT ABOUT YOU:
You're passionate and extremely motivated. You've got an ambitious spirit at heart. You're resourceful, innovative, forward-thinking, and committed. And of course (because we're Atmosfy after all!) you absolutely love travel, discovering new restaurants, nightlife, and experiences. If this sounds like you then read on friend!
As a Data Analyst at Atmosfy, you are responsible for conducting analysis to support the Product Team. In this role, you will be responsible for developing insights for the product roadmap, leading research and KPI strategies, to generate tangible insights in support of the execution of the roadmap. You are a fierce ambitious thinker with a passion for inspiring quality, innovation, and continuous improvement. This is a 100% remote, flexible role.
Compensation:
$60,000 - $90,000 yearly
Responsibilities:
WHAT YOU'LL LEAD:
You will be responsible for owning end-to-end dashboard development including requirement gathering.
Monitor & maintain existing dashboards in production
Identify opportunities and influence partners to act: Provide insights to the leadership team on the impact of strategic initiatives on the key metrics
Drive self-serve and data literacy: democratize data by building and socializing decision tools (dashboards, reports); build key data sets/pipelines to empower operational and exploratory analysis
Define, implement and standardize metrics, reports, and dashboards
Qualifications:
WHAT WE'RE LOOKING FOR?
Bachelor's degree in MIS, Business, Finance, or a related field, or equivalent experience
1+ years of working experience in data, analytics, or other relevant roles
Must be highly proficient in SQL and Excel
Amplitude experience is preferred
Experience in requirement gathering & process documentation
Ability to work cross-functionally in a fast-paced & rapidly changing environment
Ability to tell stories with data, educate effectively, and instill confidence, motivating stakeholders to act on recommendations
Ability to influence business decisions and utilize data at the leadership level
PERKS & BENEFITS
Completely remote, flexible work schedule
Unlimited Vacation, Paid Sick Days & Holidays
Employee Covered Medical, Dental, Vision Plan Base Plan
Dining/Nightlife Stipend
Company Events
About Company

We are Atmosfy.

And we're the fastest growing platform globally for live video of dining and nightlife - that shows you what's happening in your city in real-time. More than that, though - we help support local businesses globally by sharing unique experiences through video. How cool is that? We help people in more than 150 countries and 10,000+ cities discover the world's best experiences.

Our team draws on talented people who have worked at best-in-class companies such as Instagram, Google, and Netflix. We are funded by world-class investors.

Check us out on the App Store or Google Play to learn more about our mission to share experiences, inspire others, and support local businesses around the world."
8,Associate Research Data Analyst **REMOTE AVAILABLE**,Vanderbilt University Medical Center,"Nashville, TN 37232•Remote",N,"Organization:
VICTR
Job Summary:
.
Vanderbilt University Medical Center TempForce (TempForce) was created to connect temporary talent to areas throughout the Medical Center. TempForce places diverse and skilled personnel to departments across the Medical Center. In any given year, TempForce fills a wide variety of temporary requests including pharmacists, administrative/clerical roles, medical assistants and more.
We support each other and encourage excellence among all who are part of our workforce. High-achieving employees stay at VUMC for professional growth, appreciation of benefits, and a sense of community and purpose.
Core Accountabilities:
Organizational Impact: Executes job responsibilities with the understanding of how output would affect and impact other areas related to own job area/team with occasional guidance. Problem Solving/ Complexity of work: Analyzes moderately complex problems using technical experience and judgment. Breadth of Knowledge: Has expanded knowledge gained through experience within a professional area. Team Interaction: Provides informal guidance and support to team members.
Core Capabilities :
Supporting Colleagues:- Develops Self and Others: Invests time, energy, and enthusiasm in developing self/others to help improve performance e and gain knowledge in new areas.- Builds and Maintains Relationships: Maintains regular contact with key colleagues and stakeholders using formal and informal opportunities to expand and strengthen relationships.- Communicates Effectively: Recognizes group interactions and modifies one's own communication style to suit different situations and audiences. Delivering Excellent Services:- Serves Others with Compassion: Seeks to understand current and future needs of relevant stakeholders and customizes services to better address them.- Solves Complex Problems: Approaches problems from different angles; Identifies new possibilities to interpret opportunities and develop concrete solutions.- Offers Meaningful Advice and Support: Provides ongoing support and coaching in a constructive manner to increase employees' effectiveness. Ensuring High Quality: - Performs Excellent Work: Engages regularly in formal and informal dialogue about quality; directly addresses quality issues promptly.- Ensures Continuous Improvement: Applies various learning experiences by looking beyond symptoms to uncover underlying causes of problems and identifies ways to resolve them. - Fulfills Safety and Regulatory Requirements: Understands all aspects of providing a safe environment and performs routine safety checks to prevent safety hazards from occurring. Managing Resources Effectively: - Demonstrates Accountability: Demonstrates a sense of ownership, focusing on and driving critical issues to closure.- Stewards Organizational Resources: Applies understanding of the departmental work to effectively manage resources for a department/area.- Makes Data Driven Decisions: Demonstrates strong understanding of the information or data to identify and elevate opportunities. Fostering Innovation:- Generates New Ideas: Proactively identifies new ideas/opportunities from multiple sources or methods to improve processes beyond conventional approaches.- Applies Technology: Demonstrates an enthusiasm for learning new technologies, tools, and procedures to address short-term challenges.- Adapts to Change: Views difficult situations and/or problems as opportunities for improvement; actively embraces change instead of emphasizing negative elements.
Position Qualifications:
Responsibilities:
Certifications:
Work Experience:
Experience Level:
Education:
For a copy of the physical requirements of this position to determine if you can perform the duties with or without an accommodation or to request an accommodation, please contact VUMC Employee Relations at 615-343-4759 or
employeerelations.vumc@vumc.org
."
9,Data Analyst - Remote,HSS Inc.,United States,"$70,000 - $80,000 a year","Overview:
This position performs data analysis and related functions on behalf of a wide variety of HSS departments. Knowledge of how HSS data sets are structured and populated is key to success in this role, as are
strong detail orientation, organizational skills, and collaboration.
Responsibilities:

Consults with internal customers to provide analytics and reporting responsive to their needs.
Performs data collection, validation, and transformation from internal and external sources.
Conducts various data analyses including statistical analysis to create reports and visualizations.
Responds to the requests of ad hoc reports and dashboards from internal customers.
Develops macros and other approaches for end users to automate complex or ongoing reporting.
Assists internal customers by recommending and utilizing most appropriate visualization models in presentation of data.
Creates new and maintains existing custom reports in SaaS databases including NetSuite, ADP, Vision, ZUUS, Perspective, and TrackTIK, and HSS KPI Portal.
Develops customizations in NetSuite using SuiteScript and SuiteFlow.
Updates existing statistical analysis tools with new yearly data.
Supports new SAAS database implementation in data flow and transfer.
Creates, implements, and maintains quality assurance processes to ensure that the expected quality of data is maintained.
Helps to maintain existing data flow interfaces between systems and create new as needed.
Works effectively in a team environment with management, colleagues, internal and external clients, developers, other analysts, and consultants.
OTHER DUTIES AND RESPONSIBILITIES
Maintains the methodology to accurately map data across HSS systems.
Maintains mapping of data across systems as necessary to meet ongoing or project-specific needs.
Creates comprehensive data mapping and data flow diagrams as needed for specific projects.
Responsible for data migration activities as needed based on system replacements.
Collaborates closely with Information Technology department, particularly Systems Administration, to ensure that the following system administration activities are completed accurately and consistent with HSS protocols and conventions:
Data uploads and extracts
New data field creation
Responsible for data migration activities as needed based on system replacements.
Ability to meet HSS’s driving requirements and maintain a valid driver’s license

Qualifications:

Bachelor’s degree in computer science or related field and 5+ years computer systems /data analytics experience involving applications and database, or an equivalent combination of education and experience.
1+ years project leadership and/or project management experience is preferred.
Working knowledge of database design to include database methodologies such as flat files, indexed flat files, hierarchy databases, and relational databases.
Excellent verbal and written communication skills.
Excellent analytical and critical thinking skills, with a strong attention to detail.
Strong time management and organizational skills; able to juggle multiple projects while delivering work on time and of high quality.
Ability to interact with people at all levels within the organization and delivery world class customer service.
Proficient use of Microsoft Windows, Microsoft Office, Microsoft Access, Excel, VBA, SQL, Power BI, Tableau, and R, or equivalent systems.
Ability to work effectively in a team environment.

Our full-time positions offer role specific on-the-job training, career paths, and a full range of benefits:
Medical, Dental, and Vision Insurance
Supplemental Medical Reimbursement Plans
Paid Time Off & Paid Holidays*
401k Plan & Free Retirement Planning Consulting
Short-term & Long-term Disability Income Protection Benefits
Life Insurance for Teammate and Family
Employee Assistance Program
Recognition & Reward Program
Perks Discount Programs with 3,000 free classes from yoga to financial wellness.
Wellness Program
Pet Insurance
Identify Theft Protection Plan
Compensation - $70,000/yr - $80,000/yr

HSS will consider all qualified applicants without regard to race, color, religion, sex, national origin or any other status protected by law."
