,Job_Title,Company,Location,Salary,Job_Description
0,AI engineer,Sticker Mule,Remote,From $135 a day,"About Sticker Mule
Sticker Mule is the Internet's most ""kick ass"" brand. We are privately-owned, profitable, and powered by a globally distributed team that enjoys building happy customer experience at the highest technical standards. Our software team operates from 17 countries, and we're always looking for more exceptional engineers.
The Machine Learning team is responsible for building and maintaining our ML-assisted tools likeTrace andUpscale.
See more about our teams here
We offer
Remote work with flexible schedules
Varied, interesting technical challenges to solve
A fun ""no bullshit"" work environment
We like you to know
Python
PyTorch
Transformers, Diffusion, RNNs, CNNs
Familiarity with Computer Vision
Excellent communication skills (English)
Challenges
Improve our ML-assisted tools
Train new models for upcoming projects
Maintain optimal performance at scale
Compensation and benefits
Salary: $135+ based on experience
$20,000 signing bonus
4 weeks vacation (+ holidays based on your country of residence)"
1,Junior Data Scientist,Augray,"Brookfield, WI•Remote","$55,000 - $60,000 a year","Brookfield, WI, USA
Summary:
Hiring Fresher to 1 year experience in Data Science, ML with python and strong analytical skills with a passion to take part in R&D.
About AugRay:
Augray is on a mission to build next generation method of communication using Extended Reality – XR (AR/ VR/ MR) technologies and change the way businesses re conducted and how interactions happen with people. In an age where innovation is happening all around us, there’s commonality – people are driving these changes. We offer a solution that helps to articulate product demonstration and how people conversation takes place using smartphones and wearable glasses.
We are a fast-growing tech start up and have grown to over 100 employees today, launched 3 products and customers across 3 continents including brands like CocaCola, Reliance, Caterpillar, Simpsons and more.
We’re a small and impactful team of engineers, artists, solution geeks continuously working to improve our product and our craft. We use modern, cutting-edge tech stack and love experimenting and patenting with new technologies to create our products and provide opportunities for them to continue to learn and grow into leaders and experts.
We are excited to find a person that has the passion, experience, and ability to own significant R&D tasks and product evolution working individually and or along with a team of virtual engineers.
About the Role:
Research isn’t just a buzzword to you In your role as a Data Science Associate, you will use AI, ML (Machine Learning) to deliver insightful and actionable intelligence and predictive solutions to our team to create innovative solutions for our products. You will gain experience working in AR (Augmented Reality), ML, NLP and developing data driven solutions to create algorithms while working closely with other team members of our Data Science and engineering team to deliver value to our product evolution. Aside from supporting our data science model creation and data teams, you'll also assist the product team with growth opportunities. You over-invest in the visual and interaction and a passion to solve challenges while creating innovative patentable approaches.
Required Skills:
Work with Product Managers and Engineers to dive deep into data and the user experience
Construct product metrics and statistical models to identify growth opportunities
Handle data annotation and data analysis requests from multiple stakeholders with high efficiency and quality in a fast-paced environment.
Help with the development of the annotation guidelines.
Analyze language data and evaluate trends and patterns.
Participate in an annotation tool testing and onboarding.
Track and report quality metrics and ensure delivery on all KPIs and SLAs agreed with stakeholders.
Maximize productivity, process efficiency and quality through streamlined workflows, process standardization, documentation, audits and investigations on a periodic basis.
Qualifications:
Bachelor’s or equivalent experience in Mathematics, Statistics, Econometrics, Computer Science, Electrical or Computer Engineering, or related field
1+ years’ of experience as data scientist, modeling in python or R
Bachelor/master’s degree students pursuing degrees in data science, statistics, applied math, computer science, engineering or other quantitative fields providing sufficient data science foundations
Exposure to writing code (Python preferred, R and SQL okay), collaboration (Git), developing models (machine learning, boosting & bagging algorithms, &/or regression techniques), and performing predictive analytics testing and evaluation (match case analysis, confidence intervals, experimental design, A/B testing, etc.).
A hunger to learn and work on challenging problems.


Location: Remote (work along with other remote engineers)
Compensation: 55K to 60K with benefits
Please contact: interns@wisdominfotech.com
Immigration status: You should be a US Citizen or GC holder
Start Date: ASAP"
2,Data & AI Sales Specialist - Michigan/Indiana,IBM,"Detroit, MI 48201","$76,800 - $179,200 a year","Introduction
A Technology Sales Representative role (what we internally call a, 'Brand Sales Specialist') in IBM's Data & AI brand means accelerating enterprises' success by improving their ability to understand their data. It means providing solutions that enable people across organizations, in multiple roles, the ability to turn data into actionable insights without having to wait for IT. And it means selling multi-award-winning software, and world-class design practices that enables business analysts to ask new questions. The answers to which are literally shaping the future and changing the world.
Excellent onboarding and an industry leading learning culture will set you up for positive impact and success, whilst ongoing development will advance your career through an upward trajectory. Our sales environment is collaborative and experiential. Part of a team, you'll be surrounded by bright minds and keen co-creators – always willing to help and be helped – as you apply passion to work that will compel our clients to invest in IBM's products and services.

Your Role and Responsibilities
As a Brand Sales Specialist you'll work closely with clients to develop relationships, understand their needs, earn their trust, and show them how IBM's industry leading solutions will solve their problems whilst delivering value to their business.
We're passionate about success. If this role is right for you, then your achievements will mean that your career is flourishing, and our clients are thriving. To help ensure this win-win outcome, a 'day-in-the life' of this role may include, but not be limited to…
Managing a dedicated client set which includes 20 customers in the Distribution and Industrial sector. All accounts headquartered in Michigan/Indiana region. Defining, confirming, and communicating the differentiated value of IBM's AI solutions at both the technical and business level.
Using your solution-selling expertise you'll be identifying and engaging decision makers and influencers, qualifying business opportunities, and responding to clients' needs to create strategic, long-term partnerships.
Managing the entire software sales process including: opportunity identification, RFI / RFP response preparation, opportunity progression, updating our internal CRM, negotiation of terms and price, ensuring delivery against KPIs, a strong emphasis on new business sales, and expansion at existing accounts.
Collaborating with the broader IBM sales ecosystem, from Marketing to Sales and technical colleagues, to IBM Business Partners, to build sales campaigns and incremental pipeline.

Required Technical and Professional Expertise
Proven track record of success in technology sales, with emphasis on new client acquisition.
Demonstrable application of business and commercial acumen, communicated at all levels, to show the operational impact and financial value of technological solutions.
Excellent communication and presentation skills that are equally engaging, compelling and influential.



Preferred Technical and Professional Expertise
Depth and breadth of knowledge regarding the Data & AI market in order to consult and advise, and quickly grow your reputation as your clients' credible, trusted advisor. (Training on IBM's Data & AI offerings is provided)

About Business Unit
When it comes to data management and analysis, our prospective clients have massive challenges. IBM's Data & AI products solve them.

With data spread across multiple clouds in different formats it's difficult for our clients to achieve their AI-driven analytic ambitions.

IBM's industry-leading data fabric solution solves this by presenting a 'single pane of glass' view, and a set of integrated tools for business analysts, data scientists, and data engineers to consistently deliver strategy shaping insights. Quickly and consistently.

Join us and help continually introduce new clients to trail-blazing Data & AI solutions their enterprises desperately need, now and for the foreseeable future.
This job requires you to provide your COVID-19 vaccination status with supporting documentation, where legally permissible.

Your Life @ IBM
In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.
Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.
Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.
Are you ready to be an IBMer?

About IBM
IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement
IBM offers a competitive and comprehensive benefits program. Eligible employees may have access to:

Healthcare benefits including medical & prescription drug coverage, dental, vision, and mental health & well being
- Financial programs such as 401(k), the IBM Employee Stock Purchase Plan, financial counseling, life insurance, short & long- term disability coverage, and opportunities for performance based salary incentive programs
Generous paid time off including 12 holidays, minimum 56 hours sick time, 120 hours vacation, 12 weeks parental bonding leave in accordance with IBM Policy, and other Paid Care Leave programs. IBM also offers paid family leave benefits to eligible employees where required by applicable law
Training and educational resources on our personalized, AI-driven learning platform where IBMers can grow skills and obtain industry-recognized certifications to achieve their career goals
Diverse and inclusive employee resource groups, giving & volunteer opportunities, and discounts on retail products, services & experiences

The compensation range and benefits for this position are based on a full-time schedule for a full calendar year. The salary will vary depending on your job-related skills, experience and location. Pay increment and frequency of pay will be in accordance with employment classification and applicable laws. For part time roles, your compensation and benefits will be adjusted to reflect your hours. Benefits may be pro-rated for those who start working during the calendar year.

This position is eligible for participation in an IBM Sales Incentive plan. Actual incentive opportunity will be based on performance and the eligible Target Incentive, as addressed in the applicable plan, all of which is subject to change. The compensation range listed for this position is the IBM Reference Salary that is used when you are not actively participating in a sales plan. Your actual base pay plus incentive opportunity will be determined by the Incentive Plan assigned to you.

We consider qualified applicants with criminal histories, consistent with applicable law.

IBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
3,Data Scientist (All Levels),Noblis,"Reston, VA 20191•Remote",N,"Responsibilities:
Noblis is seeking to hire Data Scientists (All Levels) in Reston, VA

As a Data Scientist with our team, you will be working with our federal clients to rapidly develop innovative proof of concept and prototype solutions for our clients’ immediate mission challenges. In your role, you will work on multiple projects with teams of other data scientists, software developers, and SMEs to apply the best practices and state of the art data science and machine learning processes. As a data scientist you will be working closely with federal clients providing services to develop AI/ML models and weights to selected data to facilitate object detection, data triage, search/optimization, inference, facial recognition, behavior detection, and automated discovery and decision making, maintaining model versioning system and experience identifying new vulnerabilities in models.

On our team, you will:
Identify, apply, and adapt the latest research methodologies and open source solutions
Develop and train new machine learning models
Identify, curate, and process large data sets
Research, apply, analyze, and document technical approaches and their outcomes
Have opportunities to use various types of compute resources including on premises hardware and cloud resources
Qualifications:
Required minimum skills and knowledge:
All degrees must be in a STEM field such as computer science, statistics, data analytics, computer engineering, mathematics, and physics
Entry-Level: Bachelor's Degree +0-3 years of professional work experience or Master's Degree + 1-2 years of professional work experience
Mid-Level: Bachelor's Degree +3-5 years of professional work experience or Master’s Degree + 2-4 years of professional work experience
Must be a US Citizen and able to obtain necessary clearance
Desired skills and knowledge:
Top Secret clearance
The ideal candidate has proficiency with major data science tools and languages such as Python, R, NiFi, PostgreSQL/SQL, Spark, and Git
Demonstrated experience with cleaning, managing, optimizing performance with, and processing large volumes of data
The Data Scientist has familiarity with industry best practices for software/hardware optimization when processing large data sets and offers experience in the following required task areas: experience with machine learning, statistical modeling, time-series forecasting, and/or geospatial analytics; experience with Hadoop, Spark, or other parallel storage/computing processes is a plus

#nowhiring
#externalreferral
#hotjobs
Client Engagement: · Learn about and support Noblis’ client engagement, corporate values, and corporate strategic priorities, including providing input to proposal writers. · Build a productive relationship with your client and understand their structure and goals. · Participate in the proposal process by providing input to proposal writers. Overview:
At Noblis we recognize and reward your contributions, provide you with growth opportunities, and support your total well-being. Our offerings include health, life, disability, financial, and retirement benefits, as well as paid leave, professional development, tuition assistance, and work-life programs. Our award programs acknowledge employees for exceptional performance and superior demonstration of our service standards. Full-time and part-time employees working at least 20 hours a week on a regular basis are eligible to participate in our benefit programs. Other offerings may be provided for employees not within this category. We encourage you to learn more about our total benefits by visiting the Benefits page on our Careers site.

Salary at Noblis is determined by various factors, including but not limited to, the combination of education, certifications, knowledge, skills, competencies, and experience, internal and external equity, location, and clearance level, as well as contract-specific affordability and organizational requirements and applicable employment laws. The projected compensation range for this position is provided within the posting and are based on full time status. Part time staff receive a prorated salary based on regularly scheduled hours. The estimated minimum and maximum displayed represents the broadest range for this position (inclusive of high geographic and high clearance requirements), and is just one component of Noblis’ total compensation package for employees.

With the continuing impacts of COVID-19 around the world, we are taking action to protect the health and well-being of our colleagues and maintain the safety of the communities where we operate. Noblis seeks an environment free from COVID-19 and prefers all employees to be fully vaccinated for COVID-19. Attestation of vaccination status will be required for employment with Noblis. Unvaccinated employees may be subject to additional health and safety requirements to include any federal, state and/or client restrictions.

Noblis and our wholly owned subsidiaries, Noblis ESI, and Noblis MSD tackle the nation's toughest problems and apply advanced solutions to our clients' most critical missions. We bring the best of scientific thought, management, and engineering expertise together in an environment of independence and objectivity to deliver enduring impact on federal missions. Noblis works with a wide range of government clients in the defense, intelligence and federal civil sectors. Learn more at Noblis -About Us

Why work at a Noblis company?
Our employees find greater meaning in their work and balance the other things in life that matter to them. Our people are our greatest asset. They are exceptionally skilled, knowledgeable, team-oriented, and mission-driven individuals who want to do work that matters and benefits the public. Noblis has won numerous workplace awards. Noblis maintains a drug-free workplace.

Noblis is an Equal Opportunity Employer. Employment decisions are made without regard to race (as well as because of or on the basis of traits historically associated with race, including hair texture, hair type, and protective hairstyles such as braids, locks, and twists), color, religion, national origin, gender, sexual orientation, gender identity, age, physical or mental disability, pregnancy, childbirth, lactation and related medical conditions, genetic factors, military/veteran status, or other characteristics protected by law.

Noblis is committed to the full inclusion of all qualified individuals. As part of this commitment, Noblis will ensure that persons with disabilities are provided reasonable accommodations. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact employee-relations@noblis.org ."
4,Data Scientist Trainee Cohort3,Axle Informatics,"Rockville, MD 20852•Remote",N,"Overview:
Axle Informatics is a scientific research and information technology company that offers innovative computer services, informatics, and bioresearch solutions to research centers and healthcare organizations around the globe. With expertise in software engineering, bioinformatics, data science, molecular research, and program management, we focus on developing and applying technological tools and scientific techniques to empower the world of research. We work with some of the top research organizations and facilities in the country including multiple institutes at the National Institutes of Health (NIH). Axle is offering this postion hybrid. Start date set for September.

We are looking for Data Science Trainees to support portions of engineering based Data Science projects which Axle Informatics teams are working on currently at the National Center for Advancing Translational Science (NCATS) and the NIH.
Responsibilities:
Good understanding of mathematical and statistical concepts and a passion for learning data analytics is a must.
Exemplary problem-solving skills and ability to take initiative
Working knowledge of one of more of these technologies: Python, Django, Java, Docker, Unix, Jupyter Notebooks, Angular and/or NodeJS
Strong analytical skills
Strong data cleaning and preparation skills
Superior attention to detail
Excellent verbal and written communication skills
Utilize open source and internally-developed modeling and analytics tools using real biomedical data
Integrate internal data with external data sources to discover and implement actionable insights
Design and craft rich data visualizations to communicate stories to customers and company leadership
Qualifications:
The ideal candidate will:
Pursuing or have obtained a Bachelor's, Master’s, PhD, or Post-Doc in Bioinformatics, Computer Science, St
satistics, Data Science, Engineering, or related STEM field
Able to work 40 hours/week
Ability to work independently, just as well as with general supervision
The ability to work in a team environment with changing priorities
Skilled in a scripting languages (Python dramatically preferred)
Skilled/Experienced in Data Extraction and handling
Excellent oral and written communication skills in English

The diversity of Axle’s employees is a tremendous asset. We are firmly committed to providing equal opportunity in all aspects of employment and will not tolerate any illegal discrimination or harassment based on age, race, gender, religion, national origin, disability, marital status, covered veteran status, sexual orientation, status with respect to public assistance, and other characteristics protected under state, federal, or local law and to deter those who aid, abet, or induce discrimination or coerce others to discriminate.

Accessibility: If you need an accommodation as part of the employment process please contact: careers@axleinfo.com

Disclaimer: The above description is meant to illustrate the general nature of work and level of effort being performed by individual’s assigned to this position or job description. This is not restricted as a complete list of all skills, responsibilities, duties, and/or assignments required. Individuals may be required to perform duties outside of their position, job description or responsibilities as needed."
5,EU Junior Data Scientist,Sporty Group,Remote,N,"Sporty's sites are some of the most popular on the internet, consistently staying in Alexa's list of top websites for the countries they operate in.

As a Data Scientist at Sporty, you will play a vital role in developing innovative data science solutions and machine learning models to drive business impact. Working closely with our Trading, Product, and Tech teams, you will leverage your expertise to tackle a wide range of business challenges, translating them into supervised and/or unsupervised learning problems.

Who We Are

Sporty Group is a consumer internet and technology business with an unrivalled sports media, gaming, social and fintech platform which serves millions of daily active users across the globe via technology and operations hubs across more than 10 countries and 3 continents.
The recipe for our success is to discover intelligent and energetic people, who are passionate about our products and serving our users, and attract and retain them with a dynamic and flexible work life which empowers them to create value and rewards them generously based upon their contribution.
We have already built a capable and proven team of 300+ high achievers from a diverse set of backgrounds and we are looking for more talented individuals to drive further growth and contribute to the innovation, creativity and hard work that currently serves our users further via their grit and innovation.
Responsibilities
Create data science solutions to address a variety of business challenges that can be translated to supervised and/ or unsupervised learning problems using statistical and machine learning models.
Participate in monitoring and evaluation of performance of existing models.
Develop advanced quantitative models and concepts, such as LTV models, churn models, and recommendation engines.
Collaborate with global teams of developers, traders and product developers to better understand business requirements and deliver end product to the clients.
Implement and test the researched fixed income models using the risk research data.
Liabilities and probabilities calculations.
Requirements
1+ year of experience as a data scientist, quantitative researcher, quantitative analyst or another relevant role.
Degree in Applied Mathematics, Computer Science, Financial Engineering, Technology or Engineering.
Knowledge of probability theory, inferential statistics, machine learning, Bayesian statistics, linear algebra, and numerical methods.
Experience with statistical and machine learning models, such as regression-based models (e.g., logistic regression, linear regression, negative binomial regression), tree-based models (e.g., random forests), support vector machines, PCA, clustering models, matrix factorization, deep learning, etc.
Experience using statistical and machine learning models to contribute to company growth efforts, impacting revenue and other key business outcomes.
Understanding of Python and the machine learning ecosystem in Python (Numpy, Pandas, Scikit-learn, LightGBM, PyTorch).
Knowledge of SQL and experience with relational databases.
Agile, action-oriented.
Nice to have
Experience working in cloud platforms (AWS, GCP, Microsoft Azure).
Knowledge about and/ or experience with and/ or interest in sports betting, gambling, gaming industry.
Benefits

Quarterly and flash bonuses
Flexible working hours
Top-of-the-line equipment
Education allowance
Referral bonuses
Annual company retreat - we all went to Dubai in 2022 and are planning 2 more retreats for 2023!
Highly talented, dependable co-workers in a global, multicultural organisation
Payment via DEEL, a world class online wallet system
We score 100% on The Joel Test
Our EU team is small enough for you to be impactful
Our business is globally established and successful, offering stability and security to our Team Members"
6,Associate Data Scientist - BTS,ABBVIE,United States,N,"The Associate Data Scientist performs analyses and implements technologies to deliver precise, reliable, and reproducible reports or solutions in a timely manner, under the direction of a more senior leader. This role requires someone with the ability to demonstrate technical precision and should possess general understanding of software development, data integration and warehousing, and data analysis and visualization tools.

Responsibilities:
Completely follow established technical protocols and assess results with supervision. Perform routine tasks competently. Effectively organize work.
Recognize and report data or technical variances.
Learn and effectively implement new methods and technologies.
Consult literature and publicly available information to understand purpose of assignments.
Understand and adhere to corporate standards regarding applicable Corporate and Divisional Policies, including code of conduct, safety, GxP compliance, and data security.

Qualifications:
Bachelor’s Degree
Theoretical and practical knowledge to carry out job functions.


AbbVie is an equal opportunity employer including disability/vets. It is AbbVie’s policy to employ qualified persons of the greatest ability without discrimination against any employee or applicant for employment because of race, color, religion, national origin, age, sex (including pregnancy), physical or mental disability, medical condition, genetic information, gender identity or expression, sexual orientation, marital status, status as a disabled veteran, recently separated veteran, Armed Forces service medal veteran or active duty wartime or campaign badge veteran or a person’s relationship or association with a protected veteran, including spouses and other family members, or any other protected group status. We will take affirmative action to employ and advance in employment qualified minorities, women, individuals with a disability, disabled veterans, recently separated veterans, Armed Forces service medal veterans or active-duty wartime or campaign badge veterans. The Affirmative Action Plan is available for viewing in the Human Resources office during regular business hours."
7,"Data Scientist I, Product Analytics",Oscar Health,"New York, NY•Remote","$115,360 - $151,410 a year","Hi, we're Oscar. We're hiring a Data Scientist I to join our Product Analytics team.
Oscar is the first health insurance company built around a full stack technology platform and a focus on serving our members. We started Oscar in 2012 to create the kind of health insurance company we would want for ourselves—one that behaves like a doctor in the family.
About the role:
+Oscar is Oscar's software platform and Campaign Builder is a tool that providers, payers, and partners use to engage with their members and customers. The Data Scientist I, Product Analytics will play a critical role in developing the data pipeline management and reporting infrastructure for +Oscar Campaign Builder clients. Additionally, they'll partner with the Customer Success function to conduct outcomes analytics and reporting based on client needs and interest.
Campaign Builder is an engagement and automation platform that enables scalable, personalized interventions and automates workflows to drive growth, manage risk, and optimize admin operations. Built for non-technical users, risk bearing entities can use the tool to build ""campaigns"" that deliver interventions with multiple touch points over time to drive behavior change. The solution has been a key differentiator for +Oscar clients and we're excited about bringing the technology to more users nationwide.
You will report into a Senior Data Scientist. This is a remote / work-from-home role. You must reside in one of the following states: Arizona, California, Colorado, Connecticut, Florida, Georgia, Illinois, Iowa, Maryland, Massachusetts, Michigan, New Hampshire, New Jersey, New Mexico, New York, North Carolina, Ohio, Oregon, Pennsylvania, Rhode Island, Tennessee, Texas, Utah, Virginia, Washington, or Washington, D.C. Note, this list of states is subject to change. #LI-Remote
The potential base pay for this role is: $115,360-$151,410 per year. You are also eligible for employee benefits, participation in Oscar's unlimited vacation program, company equity grants, and annual performance bonuses.
You must be currently authorized to work in the United States on a full-time basis. Oscar will not sponsor applicants for this role.
Responsibilities:
Help establish and maintain strategic +Oscar Modular Solutions roadmap for the Data team
Work with key stakeholders to strategize, implement, and manage the productization of data science models related to Campaign Builder
Assist with the evaluation of the financial impact of campaigns with both external and internal audiences
Requirements gathering for data pipeline management and reporting infrastructure build out and enhancement; includes obtaining regular stakeholder and end-user input
Help establish success metrics for projects and work with business to track and communicate metrics through dashboards and metrics
Requirements:
A bachelor's degree and 2+ years of relevant work experience OR a master's degree in a quantitative field and 1+ years of relevant work experience
Experience working with and building data models using common tools like Python or SQL
Experience with product analytics
Experience managing projects and partners across the organization with the ability to visualize a process, identify and resolve bottlenecks
Bonus Points:
Knowledge of or previous work experience in health care, health economics, or health insurance
This is an authentic Oscar Health job opportunity. Learn more about how you can safeguard yourself from recruitment fraud here.
At Oscar, being an Equal Opportunity Employer means more than upholding discrimination-free hiring practices. It means that we cultivate an environment where people can be their most authentic selves and find both belonging and support. We're on a mission to change health care - an experience made whole by our unique backgrounds and perspectives..
Pay Transparency:
Final offer amounts, within the base pay set forth above, are determined by factors including your relevant skills, education, and experience.
Full-time employees are eligible for benefits including: medical, dental, and vision benefits, 11 paid holidays, paid sick time, paid parental leave, 401(k) plan participation, life and disability insurance, and paid wellness time and reimbursements.
Reasonable Accommodation:
Oscar applicants are considered solely based on their qualifications, without regard to applicant's disability or need for accommodation. Any Oscar applicant who requires reasonable accommodations during the application process should contact the Oscar Benefits Team (accommodations@hioscar.com) to make the need for an accommodation known."
8,data scientist - multiple openings,Starbucks,United States,N,"Now Brewing – Data Scientist! #tobeapartner
From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and the rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others.
As a Data Scientist on the Data, Analytics, Insights, and Business Operations team, you will work cross-functionally with data engineers, data scientists, business experts, and external vendors to help Starbucks make decisions better by using data and analytics. You will use your experience with forecasting, automating ETL processes, and designing and building analytical models using structured or unstructured data. You will work directly with business partners and technology teams from problem identification to solution. You will quickly become an expert in one of our key business and data domains (Supply Chain, People Analytics, Marketing, or Store) and work cross functionally in an analytics center of excellence to improve existing processes or analytical approaches
As a data scientist, you will…
Extracts data from various databases; performs exploratory data analysis, cleanses, massages, and aggregates data
Determines analytics approach to solve business problems; incorporates machine learning algorithms where appropriate
Employs scaling & automation to data preparation techniques
Transform model outputs into formats that are digestible to the end users through visualization, clear tables, and/or thoughtful presentations. Assist technical and non-technical end users in how to leverage and interpret the analysis.

We’d love to hear from people with:
Education: BS+ with concentration in quantitative discipline - Stats, Math, Comp Sci, Engineering, Econ, Quantitative Social Science, or similar discipline
Minimum of 3+ years industry experience in data science
Strong background working with predictive and statistical modeling, machine learning and strong expertise in all phases of the modeling pipeline
Experience building complex data sets from multiple data sources, both internally and externally.
Strong SQL, database and ETL skills required including cleaning and managing data.
Advanced competency and expertise in Python, R or other platforms*
Ability to apply knowledge of multidisciplinary business principles and practices to achieve successful outcomes in cross-functional projects and activities
Ability to educate others on statistical / machine learning methods
Self-starter, attention to details and results orientated, able to work under minimal guidance.
Proficient in communicating effectively with both technical and nontechnical stakeholders.
Experience on Cloud platforms such as Azure, AWS, preferred
Join us and be part of something bigger. Apply today!

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

We are committed to creating a diverse and welcoming workplace that includes partners with diverse backgrounds and experiences. We believe that enables us to better meet our mission and values while serving customers throughout our global communities. People of color, women, LGBTQIA+, veterans and persons with disabilities are encouraged to apply.

Qualified applicants with criminal histories will be considered for employment in a manner consistent with all federal state and local ordinances. Starbucks Corporation is committed to offering reasonable accommodations to job applicants with disabilities. If you need assistance or an accommodation due to a disability, please contact us at applicantaccommodation@starbucks.com."
9,"Data Scientist, Customer Experimentation",Eppo,Remote,"$150,000 - $174,000 a year","At Eppo, we are building the future of experimentation, so that every company can have an entrepreneurial, customer oriented culture.
Our next-gen feature flagging and experimentation platform allows data, product and ML teams to run 10x more experiments with existing infrastructure and headcount. We dramatically lower the overhead of running AB experiments by automating all of the experiment operations work, and wrapping the results in collaborative workflows.
Our team is made up of veteran product builders from Airbnb, Snowflake and Slack, and our product is powering experimentation at some of top companies around the world. We’ve raised over $19M in Seed and Series A funding backed by top-tier venture firms like Menlo VC and Amplify Partners.
Watch a demo of Eppo on our homepage, read more on our blog, or check out our about us page to learn more about who we are!
About the Role
We’re hiring a Customer Data Scientist to partner closely with our Customer Success Manager and support our customers in their experimentation journey. This is a technical role where you will shape how dozens of Eppo customers think about experimentation and help them get started with our platform and achieve long-term technical success. Individuals who excel at this job have the ability to think strategically and invest time in developing re-usable artifacts and best practices which are made available across all customers.
What you’ll do as a Data Scientist, Customer Experimentation:
Own any post-sales activities related to onboarding, training and adoption implementation of the Eppo platform for new and existing customers
Establish yourself as a trusted advisor to technical stakeholders and help solve their experimentation problems
Be the first point of contact for high priority customers issues or questions related to Eppo’s technical architecture and usage
Provide customers with best practices for integrations, develop playbooks for use cases and identify key onboarding & adoption patterns to speed time to value
Advocate for customers internally by frequently providing customer feedback to the product team
Skills
What you’ll bring to the team:
4+ years of experience as a data scientist, solutions engineer, or solutions consultant
Proficient at SQL and analytics engineering
Foundational knowledge of statistics and experimentation
Experience managing relationships with technical stakeholders
Ability to own and quarterback technical customer asks
Desired: You have run many online experiments or have worked on an experimentation platform before
Compensation
Competitive salary and early team equity. The estimated salary range for this role is $150-$174K, depending on experience
Top of the line health, dental, and vision insurance
New laptop/equipment of your choice and whatever else you need to be productive
Compensation for learning materials, tools, and resources to help you learn and grow"
