index,title,company,Skills,city,state,posted_date,type,salary,type,sal_min,sal_max,sal_median,origin
0,Data Architect,Cohesive Technologies LLC,Data Architect,Mountain View,CA,4/14/2023,"Contract: Independent, Corp-To-Corp, W2, Long term",,,,,,dice.com
1,Data Architect,Ekcel Technologies Inc,Data Architect,Chicago,IL,4/12/2023,Full Time,Depends on Experience,,,,,dice.com
2,Data Architect,Randstad Technologies,Data Architect,Charlotte,NC,4/12/2023,Contract: W2,USD51 - USD61,hourly,51,61,56,dice.com
3,Data Architect,Randstad Technologies,Data Architect,Tallahassee,FL,4/15/2023,Contract: W2,USD75 - USD90,hourly,75,90,82.5,dice.com
4,Data Architect,Radus Tek Services,"Data Architect, Data Analysis, Data Governance",Tallahassee,FL,4/14/2023,"Contract: Independent, W2",Depends on Experience,,,,,dice.com
5,Data Architect,InfoTech Spectrum Inc,"Data Architect, Azure",Chicago,IL,4/11/2023,Full Time,$0 - $0,,,,,dice.com
6,Data Architect,Prudent Technologies and Consulting,"Data Architect, Data Migration, Clinical Data Experience, Data Mapping",,,4/11/2023,"Contract: Corp-To-Corp, W2, Independent, 2 Month(s)",$60 - $70,hourly,60,70,65,dice.com
7,Data Architect / Modeler,"App Y Systems, Inc",Data Architect,Alpharetta,GA,4/10/2023,"Contract: Corp-To-Corp, W2, Independent, 12 Month(s)",Depends on Experience,,,,,dice.com
8,Data Architect,Randstad Technologies,Data Architect,Charlotte,NC,3/31/2023,Contract: W2,USD60 - USD70,hourly,60,70,65,dice.com
9,Data Architect/Modeler,Mindlance,"Data Architect, Data Modeler, Warehouse",Alpharetta,GA,4/10/2023,Contract: W2,Depends on Experience,,,,,dice.com
10,Senior Data Architect,VC5 Consulting,"Data Architect, Data Architect",Spring,TX,4/14/2023,Full Time,Depends on Experience,,,,,dice.com
11,Sr Data Architect,Randstad Technologies,Sr Data Architect,Saint Louis,MO,4/11/2023,Full Time,"USD140,000 - USD160,000",yearly,140000,160000,150000,dice.com
12,Google Cloud Platform Data Architect,Avance Consulting,"Data Architect, GCP",Twinsburg,OH,4/13/2023,Full Time,,,,,,dice.com
13,Data Architect,"Zachary Piper Solutions, LLC","Architect, Data Architect, Data Modeling",Raleigh,NC,3/31/2023,Full Time,,,,,,dice.com
14,Data Architect,Prophecy Consulting,"Data Governance, Data Architect, Data Management, Planning, Oracle, Transformation, Policy Management",Irvine,CA,4/12/2023,"Contract: W2, Corp-To-Corp, Independent, 12 Month(s)",$70 - $80,hourly,70,80,75,dice.com
15,Data Architect,"Capgemini America, Inc.","Data Architect, NoSQL, Data Architecture, Data Governance, Data Modeling, Data Security, Modeling Data",New York,NY,4/10/2023,Full Time,"$100,000 - $140,000",yearly,100000,140000,120000,dice.com
16,Data Architect,Nityo Infotech Corporation,"Data Architect, Postgres, Python, SQL, Data Pipelines Near, Oracle",Pittsburgh,PA,4/11/2023,"Contract: Corp-To-Corp, 12 Month(s)",$70+,hourly,70,,70,dice.com
17,Azure Data Architect,Zora,"Data Warehouse, Azure, Data Architect",,,4/13/2023,"Contract: W2, Independent",Depends on Experience,,,,,dice.com
18,Data Architect,SOHO Square Solutions,"Servicenow, Power BI, Data Architect, CDSM",Alpharetta,GA,4/10/2023,"Contract: W2, Independent, Corp-To-Corp, 12 month(s)",,,,,,dice.com
19,Azure Data Architect,Incedo Inc,"Azure, Data Architect",Concord,CA,4/5/2023,Full Time,"$150,000 - $170,000",yearly,150000,170000,160000,dice.com
20,Data Architect,Blue Rose Technologies LLC,"Data Architect, ETL, Data Warehousing, Data Lake, GCP, Google Cloud",,,4/13/2023,"Contract: Independent, Corp-To-Corp, W2, 12 Month(s)",Depends on Experience,,,,,dice.com
21,Data Architect,"Activesoft, Inc.","Healthcare, Hospital, Insurance, Claims, Data Architect",Cincinnati,OH,4/10/2023,"Contract: W2, 6 Month(s)",Depends on Experience,,,,,dice.com
22,Data Architect (healthcare) : Remote,SnS Global Corp,"Data Architect, Healthcare, Data Fabric, Data Mesh, Data Virtualization",,,4/13/2023,Part Time,Depends on Experience,,,,,dice.com
23,Senior Data Architect,Whitehall Resources Limited,"Data Architect, AWS, Azure, NoSQL",New York,NY,4/11/2023,Full Time,Depends on Experience,,,,,dice.com
24,Data Architect,InfoTech Spectrum Inc,"Data Architect, SQL, Oracle, .Net Platform, Data Mapping, Data Dictionary, Data Migration, Data Security, Data Network",,,4/7/2023,"Contract: W2, 24 Month(s)",Depends on Experience,,,,,dice.com
25,DATA ARCHITECT,"Veritis Group, Inc.","Data Architect, Data Architecture, Data Mapping, Data Modeling, Power BI, Tableau, SDLC, Project Management, Azure, SQL",,,4/13/2023,Contract: W2,Depends on Experience,,,,,dice.com
26,Data Architect,Blue Rose Technologies LLC,"Data Architect, AWS, Azure, NoSQL, Big Data, SQL, Erwin",New York,NY,4/12/2023,Full Time,Depends on Experience,,,,,dice.com
27,Data Architect,"Synergetic Information Systems, Inc","Data Architect, ETL",Washington,DC,3/21/2023,Full Time,Depends on Experience,,,,,dice.com
28,Data Architect,Peterson Technology Partners,"Data Architect, Data Architecture, Data Modeling, Data Transformation, Data Warehousing, Oil and Gas",,,3/31/2023,"Contract: Independent, Corp-To-Corp, W2, 12 Month(s)",Depends on Experience,,,,,dice.com
29,Senior Data Architect,Samiti Technology Inc.,"Azure, Data Architect, Systems Architecture, Data Modeling",New York,NY,4/3/2023,"Contract: W2, 6 Month(s)",Depends on Experience,,,,,dice.com
30,Sr. Data Architect,Venhan,"Data Architect, Data Warehouse, ETL, Data Lake, CMDB, GCP",,,4/14/2023,"Contract: Independent, Corp-To-Corp, W2",$50 - $60,yearly,50000,60000,55000,dice.com
31,Data Architect - IICS,Mastech Digital,Data Architect - IICS,Pittsburgh,PA,3/27/2023,"Contract: Independent, W2, 9 month(s)",$75.00 per hour,hourly,75,,75,dice.com
32,Data Architect,U.S. Tech Solutions Inc.,"Plsql, Big Data, Data Architect, Hadoop",Atlanta,GA,3/31/2023,"Contract: W2, 5 Month(s)",Depends on Experience,,,,,dice.com
33,Azure Data Architect,IDC Technologies,"Azure Security, Data Architect, Devops, Capacity Management, Data Governance, Power BI",,,4/9/2023,Full Time,"$180,000 - $200,000",yearly,180000,200000,190000,dice.com
34,Solutions/Data Architect,"V.L.S. Systems, Inc","Azure, AWS, SaaS, Data Architect, Scrum, SaaS, Data Management, Data Architecture",Richmond,VA,4/13/2023,"Contract: W2, Independent, 12 Month(s)",Depends on Experience,,,,,dice.com
35,Data Architect,Enquizit,Data Architect,,,4/14/2023,Full Time,Depends on Experience,,,,,dice.com
36,Senior Data Architect,Syeta Inc,"Big Data, Data Architect, Erwin, HDFS, Json, NoSQL",New York,NY,4/11/2023,Full Time,"$140,000 - $170,000",yearly,140000,170000,155000,dice.com
37,Principal Data Architect,International Solutions Group,"Data Architect, Data Mapping, Function Mapping",,,3/24/2023,"Contract: W2, Corp-To-Corp, Independent, 12 Month(s)",Depends on Experience,,,,,dice.com
38,"Data Architect - Atlanta, GA or Remote",CRH Americas Inc,Data Architect,Atlanta,GA,4/5/2023,Full Time,Depends on Experience,,,,,dice.com
39,Sr. SQL Server Data Architect,SGIC Cloud Technologies Inc.,"SQL Server, Data Architect",San Jose,CA,4/6/2023,"Contract: Corp-To-Corp, Independent, W2, 12 Month(s)",Depends on Experience,,,,,dice.com
40,Data Architect,Randstad Technologies,Data Architect,New York,NY,3/8/2023,Full Time,USD85 - USD100,hourly,85000,100000,92500,dice.com
41,Solutions/Data Architect,"DataStaff, Inc.","Scrum, GIS, Azure, Agile, AWS, Data Architect, Data Architecture, Data Management, SaaS",Richmond,VA,4/14/2023,"Contract: W2, Independent",Depends on Experience,,,,,dice.com
42,Sr Data Architect,Nava Software Solutions,"SQL, ETL, Data Architect, MDM",Indianapolis,IN,3/31/2023,"Contract: W2, Corp-To-Corp, Independent, 12 month(s)",,,,,,dice.com
43,Data Architect,"Computer Enterprises, Inc.","Data Architect, Oracle, Informatica, Kafka, MQ, API, ETL",Pittsburgh,PA,4/3/2023,"Contract: W2, 5 Month(s)",$76 - $82,yearly,76000,82000,79000,dice.com
44,Google Cloud Platform Data Architect,Benvia,"GCP Data Architect, Sq, Python, GCP, DBT, BQ, SQL, GCP Cloud Data, BQ",,,4/14/2023,"Contract: Independent, Corp-To-Corp, W2, 12 Month(s)",Depends on Experience,,,,,dice.com
45,Data Architect (W2 opportunity),XFORIA Inc,"Data Architect, Data Modeling, Data Warehousing",,,3/31/2023,"Contract: W2, 12 Month(s)",$70 - $80,yearly,70000,80000,75000,dice.com
46,Azure Data Architect,ResolveTech Solutions Inc.,"Data Architect/ Engineer, Azure, Data Bricks, t-SQL",,,4/3/2023,"Contract: W2, Independent, Corp-To-Corp, 18 Month(s)",Depends on Experience,,,,,dice.com
47,Data Architect IV (Contractor),Signature Consultants,Data Architect IV (Contractor),Vinings,GA,3/30/2023,Contract: W2,,,,,,dice.com
48,Data Architect,SUNRAY INFORMATICS,"SQL, ETL, NoSQL, Oracle, Data Architect, Master Data Management, Data Management, Tableau, Power BI, Azure, Azure SQL, Data Mining, Data Warehouses, Data Visualization, Data Warehouse, Data Pipelines",,,4/5/2023,"Contract: Corp-To-Corp, 12 Month(s)",Depends on Experience,,,,,dice.com
49,Data Architect with Retail background,Maxus Technology USA LLC,"Data Architect, Rdms, NoSQL, Couchbase, ADLS",Nashville,TN,4/13/2023,"Contract: W2, 6 Month(s)",$70 - $80,yearly,70000,80000,75000,dice.com
