,company,description,location,salary,title
0,ACI Federal™,5+ years data science analyst experience. Creating and editing/updating data scripts using R for use by TIU. Cyber Threat Intelligence Analysis and Reporting.,"Falls Church, VA",$39.38 an hour,Data Science Analyst
1,Pensa Systems,A solid understanding of data mining & big data techniques. The Data Analyst will be in charge of understanding and operationalising data delivery by sifting…,Remote,,Data Analyst
2,"Forward Air, Inc.",Present information using data visualization techniques. Work with stakeholders throughout the organization to identify opportunities for leveraging company…,"Forest Park, GA +1 location","$85,000 - $120,000 a year",Data Scientist
3,Permanent General Assurance Corp.,"As an Associate Data Scientist, you will be involved first hand with actual data science projects and writing code that matters.","Nashville, TN","$76,440 a year",Associate Data Scientist
4,Nova Collective,"Working with raw survey data to produce clean data sets for analysis and reporting. Do you bring a strong background in survey data principles, such as:","Chicago, IL",$30 - $35 an hour,Data Analyst
5,PCS Global Tech,"Provides plan with data, reporting and analyses that enable data driven decision making. Data science: 1 year (Required). Temporarily due to COVID-19.","Irvine, CA",,Data Science Opportunities/ Entry Level for Recent Graduates STEM
6,Quality Built,"Support the design of end-to-end data visualizations/Reporting solutions, from data extraction to the presentation, to address the clients’ needs.","Denver, CO +4 locations","$65,000 - $80,000 a year",Reporting and Data Science Analyst
7,Central Intelligence Agency,"Work experience related to data engineering, information, and data management. Data Engineers work with data consumers to create and populate optimal data…","Washington, DC","$64,137 - $159,286 a year",Data Engineer
8,Netflix,We are seeking an experienced Administrative Assistant to provide support to Directors in Data Science and Engineering.,"Los Gatos, CA +1 location",,"Administrative Assistant, Data Science & Engineering"
9,Atlas Executive Consulting,"User interface design and prototyping data visualizations. 4 years of experience developing, implementing, and supporting the usage of data visualization…","North Charleston, SC +1 location","$95,000 a year",Data Visualization Analyst
10,"Tek-Tree, LLC","Data science: 4 years (Required). One of the scripting language python etc. SQL and PL/SQL development, including code debugging, query analysis and performance…",Remote,$65 - $70 an hour,Data Scientist (No Sponsorship Offered)
