index,title,skills,company,city,state,type,salary,salary_type,sal_min,sal_max,sal_median,posted_date,origin
0,Data Engineer - Flink,Flink,Amazon,San Diego,CA,Onsite,$72 - $80 an hour,hourly,72,80,76,,simplyhired.com
1,Data Engineer with Data Analytics Background,,Claritas,Cincinnati,OH,Onsite,$70000 - $100000,yearly,70000,100000,85000,,simplyhired.com
2,Data Engineer,,"Maas Energy Works, Inc",Redding,CA,Onsite,$24 - $46 an hour,hourly,24,46,35,,simplyhired.com
3,Telecommunications & Data Field Engineer,,Redwood Systems INC,Chicago,IL,Onsite,$45000 - $57000,yearly,45000,57000,51000,,simplyhired.com
4,AWS Data Engineer,AWS,KPI Partners,,,Remote,$140000 - $160000,yearly,140000,160000,150000,,simplyhired.com
5,Data Center Engineer,,Ryzen Solutions,Foster City,CA,Onsite,$85 - $90 an hour,hourly,85,90,87.5,,simplyhired.com
6,Data Engineer,,Ghritachi Inc,Dallas,TX,Onsite,$50 - $55 an hour,hourly,50,55,52.5,,simplyhired.com
7,Data Engineer,,Fuge Technologies Inc,West Hollywood,CA,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
8,Sr. Data Engineer,,RelMap Consulting,Addison,TX,Hybrid,$70 - $80 an hour,hourly,70,80,75,,simplyhired.com
9,Facilities Engineer - Data Center/Mission Critical Environment,,fifteenfortyseven Critical Systems Realty,Portland,OR,Onsite,From $21 an hour,hourly,21,,,,simplyhired.com
10,Data Center Engineer,,The DAVIS Companies,,MA,Onsite,,yearly,,,,,simplyhired.com
11,Data Engineer,,Titan America,Roanoke,VA,Onsite,$75000 - $85000,yearly,75000,85000,80000,,simplyhired.com
12,Azure Data Engineer,Azure,Integration Developer Network LLC,,,Remote,$70 - $75 an hour,hourly,70,75,72.5,,simplyhired.com
13,Data Engineer,,Peach IT Professionals,Braham,MN,Onsite,$40 - $70 an hour,hourly,40,70,55,,simplyhired.com
14,Data Engineer,,Infoway solutions LLC,Santa Clara,CA,Onsite,Up to $68 an hour,hourly,,68,,,simplyhired.com
15,Data Engineer,,Integration Developer Network LLC,Houston,TX,Onsite,$65 - $70 an hour,hourly,65,70,67.5,,simplyhired.com
16,Data Engineer,,Gridiron IT,Washington,DC,Onsite,$65 - $75 an hour,hourly,65,75,70,,simplyhired.com
17,Lead Data Engineer,,The Oncology Institute of Hope and Innovation,Cerritos,CA,Onsite,$119000 - $150000,yearly,119000,150000,134500,,simplyhired.com
18,Data Engineer,,"Bluemont Technology & Research, Inc.",Norfolk,VA,Onsite,$90000 - $130000,yearly,90000,130000,110000,,simplyhired.com
19,Data Engineer,,Core Civic,Brentwood,TN,Onsite,,yearly,,,,,simplyhired.com
20,Data Link Engineer,,Avionics Test and Analysis Corporation,Edwards AFB,CA,Onsite,$100000 - $120000,yearly,100000,120000,110000,,simplyhired.com
21,Sr. Data Engineer,,Beacon Hill Staffing Group,Milwaukee,WI,Onsite,$64300 - $81500,yearly,64300,81500,72900,,simplyhired.com
22,Data Center Engineer,,Ryzen Solutions,Foster City,CA,Onsite,$85 - $90 an hour,hourly,85,90,87.5,,simplyhired.com
23,Platform & Data Engineer,,Chelan County Public Utility District,Wenatchee,WA,Onsite,$70560 - $129600,yearly,70560,129600,100080,,simplyhired.com
24,Implementation Data Engineer,,Vision Government Solutions,East Coast,,Remote,$89600 - $113000,yearly,89600,113000,101300,,simplyhired.com
25,Data Engineer,,Blueprint Strategic Advisory Partners,Warrington,PA,Onsite,$80000 - $85000,yearly,80000,85000,82500,,simplyhired.com
26,Data Engineer,,Fuge Technologies Inc,West Hollywood,CA,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
27,Sr. Data Engineer,,RelMap Consulting,Addison,TX,Hybrid,$70 - $80 an hour,hourly,70,80,75,,simplyhired.com
28,Azure Data Engineer,Azure,Integration Developer Network LLC,,,Remote,$70 - $75 an hour,hourly,70,75,72.5,,simplyhired.com
29,Data Engineer,,Infoway solutions LLC,Santa Clara,CA,Onsite,Up to $68 an hour,hourly,,68,,,simplyhired.com
30,Data Engineer,,Integration Developer Network LLC,Houston,TX,Onsite,$65 - $70 an hour,hourly,65,70,67.5,,simplyhired.com
31,Senior Data Center Network Engineer,,WEI,Salem,NH,Onsite,$150000 - $200000,yearly,150000,200000,175000,,simplyhired.com
32,Data Engineer,,Bay & Bay Transportation,Eagan,MN,Onsite,$100000 - $150000,yearly,100000,150000,125000,,simplyhired.com
33,Data Engineer,,Zoll Medical Corporation,Broomfield,CO,Onsite,$125000 - $140000,yearly,125000,140000,132500,,simplyhired.com
34,Data Engineer,,Gridiron IT,Washington,DC,Onsite,$65 - $75 an hour,hourly,65,75,70,,simplyhired.com
35,Data Engineer,,West Shore Home,,,Remote,$80000 - $120000,yearly,80000,120000,100000,,simplyhired.com
36,Data Engineer,,Konnectingtree,,,Remote,$45 - $50 an hour,hourly,45,50,47.5,,simplyhired.com
37,Data Engineer,,Wheels Up,,USA,Onsite,$100000 - $250000,yearly,100000,250000,175000,,simplyhired.com
38,Data Engineer,,Fastechnowiz Solutions Inc,Westlake,TX,Onsite,$57.63 - $65.00 an hour,hourly,57.63,65,61.32,,simplyhired.com
39,"Building Engineer (Night Shift, Critical Data Centers) (23000727)",,Newmark,Alpharetta,GA,Onsite,$27 - $29 an hour,hourly,27,29,28,,simplyhired.com
40,Data Center Engineer - DE,,Randstad Technologies,Bear,DE,Onsite,,yearly,,,,,simplyhired.com
41,Telecommunications Engineer Data,,Adept Consulting Services,Pennsylvania,,Onsite,$100000 - $120000,yearly,100000,120000,110000,,simplyhired.com
42,Data Center HVAC Facilities Engineer,,Sabey Data Centers,Quincy,WA,Onsite,$58536 - $71707,yearly,58536,71707,65121.5,,simplyhired.com
43,Data Engineer,,Amplify Resources Group,Orlando,FL,Onsite,$109305 - $140000,yearly,109305,140000,124652.5,,simplyhired.com
44,Data Center Engineer,,Ryzen Solutions,Foster City,CA,Onsite,$85 - $90 an hour,hourly,85,90,87.5,,simplyhired.com
45,Data Pipeline Engineer,,"iSpecimen, Inc.",Lexington,MA,Onsite,$90000 - $120000,yearly,90000,120000,105000,,simplyhired.com
